impl,seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
naive_cublas,128,0.161,0.160,0.162,2.2,442.1,0.000000
naive_cublas,256,0.215,0.215,0.216,5.5,446.1,0.000000
naive_cublas,512,0.346,0.346,0.347,15.0,458.1,0.000000
naive_cublas,1024,0.648,0.647,0.648,46.0,490.1,skip
naive_cublas,2048,1.925,1.923,1.926,156.0,604.1,skip
naive_cublas,4096,5.831,5.827,5.835,568.0,1024.1,skip
naive_cublas,8192,17.331,17.313,17.345,2160.0,2632.1,skip
tiled_online,128,0.106,0.106,0.107,1.8,442.1,0.000000
tiled_online,256,0.191,0.191,0.192,3.5,444.1,0.000000
tiled_online,512,0.453,0.452,0.455,7.0,450.1,0.000000
tiled_online,1024,1.508,1.507,1.509,14.0,458.1,skip
tiled_online,2048,5.291,5.288,5.294,28.0,476.1,skip
tiled_online,4096,20.422,20.419,20.428,56.0,512.1,skip
tiled_online,8192,80.318,80.294,80.351,112.0,584.1,skip
tiled_online_wmma,128,0.114,0.113,0.117,1.8,442.1,0.000001
tiled_online_wmma,256,0.164,0.163,0.167,3.5,444.1,0.000001
tiled_online_wmma,512,0.265,0.264,0.266,7.0,450.1,0.000001
tiled_online_wmma,1024,0.559,0.559,0.561,14.0,458.1,skip
tiled_online_wmma,2048,1.242,1.241,1.243,28.0,476.1,skip
tiled_online_wmma,4096,3.872,3.862,3.902,56.0,512.1,skip
tiled_online_wmma,8192,14.287,14.278,14.298,112.0,584.1,skip
sparse_window,128,0.173,0.171,0.174,2.8,444.1,skip
sparse_window,256,0.316,0.313,0.318,5.5,446.1,skip
sparse_window,512,0.606,0.602,0.607,11.0,454.1,skip
sparse_window,1024,1.197,1.195,1.199,22.0,466.1,skip
sparse_window,2048,2.345,2.342,2.348,44.0,492.1,skip
sparse_window,4096,4.686,4.684,4.687,88.0,544.1,skip
sparse_window,8192,9.322,9.320,9.324,176.0,648.1,skip
flash_attn_official,128,0.254,0.238,0.290,12.9,12.9,skip
flash_attn_official,256,0.251,0.229,0.264,14.6,14.6,skip
flash_attn_official,512,0.266,0.262,0.277,19.2,19.2,skip
flash_attn_official,1024,0.274,0.273,0.276,31.3,31.3,skip
flash_attn_official,2048,0.449,0.448,0.450,39.1,39.1,skip
flash_attn_official,4096,0.891,0.888,0.898,67.1,67.1,skip
flash_attn_official,8192,2.062,2.057,2.065,123.1,123.1,skip
