impl,seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
naive_cublas,128,0.130,0.128,0.132,2.2,14261.1,0.000000
naive_cublas,256,0.190,0.189,0.192,5.5,14265.1,0.000000
naive_cublas,512,0.300,0.297,0.304,15.0,14277.1,0.000000
naive_cublas,1024,0.576,0.551,0.743,46.0,14309.1,skip
naive_cublas,2048,1.636,1.628,1.650,156.0,14423.1,skip
naive_cublas,4096,9.691,6.474,15.397,568.0,14843.1,skip
naive_cublas,8192,66.241,42.639,89.841,2160.0,16451.1,skip
tiled_online,128,0.108,0.107,0.109,1.8,14261.1,0.000000
tiled_online,256,0.203,0.200,0.207,3.5,14263.1,0.000000
tiled_online,512,0.487,0.484,0.488,7.0,14269.1,0.000000
tiled_online,1024,1.589,1.578,1.615,14.0,14277.1,skip
tiled_online,2048,11.468,6.998,16.212,28.0,14295.1,skip
tiled_online,4096,68.078,45.172,84.072,56.0,14331.1,skip
tiled_online,8192,237.884,166.541,304.245,112.0,14403.1,skip
tiled_online_wmma,128,0.114,0.113,0.115,1.8,14261.1,0.000001
tiled_online_wmma,256,0.181,0.179,0.184,3.5,14263.1,0.000001
tiled_online_wmma,512,0.283,0.281,0.289,7.0,14269.1,0.000001
tiled_online_wmma,1024,0.587,0.585,0.587,14.0,14277.1,skip
tiled_online_wmma,2048,1.270,1.266,1.281,28.0,14295.1,skip
tiled_online_wmma,4096,8.663,6.922,9.814,56.0,14331.1,skip
tiled_online_wmma,8192,44.132,34.079,64.076,112.0,14403.1,skip

Tensors written to tensors/. Run bench_flash_attn.py to benchmark official flash-attn on the same data.
